COND,DX,ICD,ICD_DESC
Bacterial infection (other),A4153,0,Sepsis due to Serratia
Bacterial infection (other),A4159,0,Other Gram-negative sepsis
Bacterial infection (other),A4159,0,Other Gram-negative sepsis
Bacterial infection (other),A4181,0,Sepsis due to Enterococcus
Bacterial infection (other),A4181,0,Sepsis due to Enterococcus
Bacterial infection (other),A4189,0,Other specified sepsis
Bacterial infection (other),A4189,0,Other specified sepsis
Bacterial infection (other),A419,0,"Sepsis, unspecified organism"
Bacterial infection (other),A419,0,"Sepsis, unspecified organism"
Bacterial infection (other),A420,0,Pulmonary actinomycosis
Bacterial infection (other),A421,0,Abdominal actinomycosis
Bacterial infection (other),A422,0,Cervicofacial actinomycosis
Bacterial infection (other),A427,0,Actinomycotic sepsis
Bacterial infection (other),A427,0,Actinomycotic sepsis
Bacterial infection (other),A4281,0,Actinomycotic meningitis
Bacterial infection (other),A4281,0,Actinomycotic meningitis
Bacterial infection (other),A4282,0,Actinomycotic encephalitis
Bacterial infection (other),A4282,0,Actinomycotic encephalitis
Bacterial infection (other),A4289,0,Other forms of actinomycosis
Bacterial infection (other),A429,0,"Actinomycosis, unspecified"
Pneumonia,A430,0,Pulmonary nocardiosis
Pneumonia,A430,0,Pulmonary nocardiosis
SSTI,A431,0,Cutaneous nocardiosis
SSTI,A431,0,Cutaneous nocardiosis
Bacterial infection (other),A438,0,Other forms of nocardiosis
Bacterial infection (other),A439,0,"Nocardiosis, unspecified"
Bacterial infection (other),A440,0,Systemic bartonellosis
Bacterial infection (other),A441,0,Cutaneous and mucocutaneous bartonellosis
Bacterial infection (other),A448,0,Other forms of bartonellosis
Bacterial infection (other),A449,0,"Bartonellosis, unspecified"
SSTI,A46,0,Erysipelas
SSTI,A46,0,Erysipelas
Bacterial infection (other),A480,0,Gas gangrene
Pneumonia,A481,0,Legionnaires disease
Pneumonia,A481,0,Legionnaires disease
Bacterial infection (other),A482,0,Nonpneumonic Legionnaires disease [Pontiac fever]
Bacterial infection (other),A483,0,Toxic shock syndrome
Bacterial infection (other),A484,0,Brazilian purpuric fever
Bacterial infection (other),A4852,0,Wound botulism
Bacterial infection (other),A488,0,Other specified bacterial diseases
Bacterial infection (other),A4901,0,"Methicillin susceptible Staphylococcus aureus infection, unspecified site"
Bacterial infection (other),A4902,0,"Methicillin resistant Staphylococcus aureus infection, unspecified site"
Bacterial infection (other),A491,0,"Streptococcal infection, unspecified site"
Bacterial infection (other),A492,0,"Hemophilus influenzae infection, unspecified site"
Bacterial infection (other),A493,0,"Mycoplasma infection, unspecified site"
Bacterial infection (other),A498,0,Other bacterial infections of unspecified site
Bacterial infection (other),A499,0,"Bacterial infection, unspecified"
URI (other),A5003,0,Early congenital syphilitic pharyngitis
URI (other),A5003,0,Early congenital syphilitic pharyngitis
URI (other),A5003,0,Early congenital syphilitic pharyngitis
Pneumonia,A5004,0,Early congenital syphilitic pneumonia
Pneumonia,A5004,0,Early congenital syphilitic pneumonia
Pneumonia,A5004,0,Early congenital syphilitic pneumonia
SSTI,A5139,0,Other secondary syphilis of skin
SSTI,A5139,0,Other secondary syphilis of skin
Pneumonia,A5272,0,Syphilis of lung and bronchus
Pneumonia,A5272,0,Syphilis of lung and bronchus
URI (other),A5273,0,Symptomatic late syphilis of other respiratory organs
URI (other),A5273,0,Symptomatic late syphilis of other respiratory organs
UTI,A5275,0,Syphilis of kidney and ureter
UTI,A5275,0,Syphilis of kidney and ureter
UTI,A5401,0,"Gonococcal cystitis and urethritis, unspecified"
UTI,A5401,0,"Gonococcal cystitis and urethritis, unspecified"
URI (other),A545,0,Gonococcal pharyngitis
URI (other),A545,0,Gonococcal pharyngitis
Pneumonia,A5484,0,Gonococcal pneumonia
Pneumonia,A5484,0,Gonococcal pneumonia
UTI,A5601,0,Chlamydial cystitis and urethritis
UTI,A5601,0,Chlamydial cystitis and urethritis
URI (other),A564,0,Chlamydial infection of pharynx
URI (other),A564,0,Chlamydial infection of pharynx
UTI,A5903,0,Trichomonal cystitis and urethritis
UTI,A5903,0,Trichomonal cystitis and urethritis
UTI,A5903,0,Trichomonal cystitis and urethritis
Viral infection,A6000,0,"Herpesviral infection of urogenital system, unspecified"
Viral infection,A6000,0,"Herpesviral infection of urogenital system, unspecified"
Viral infection,A6001,0,Herpesviral infection of penis
Viral infection,A6001,0,Herpesviral infection of penis
Viral infection,A6001,0,Herpesviral infection of penis
Viral infection,A6002,0,Herpesviral infection of other male genital organs
Viral infection,A6002,0,Herpesviral infection of other male genital organs
Viral infection,A6002,0,Herpesviral infection of other male genital organs
Viral infection,A6003,0,Herpesviral cervicitis
Viral infection,A6003,0,Herpesviral cervicitis
Viral infection,A6003,0,Herpesviral cervicitis
Viral infection,A6004,0,Herpesviral vulvovaginitis
Viral infection,A6004,0,Herpesviral vulvovaginitis
Viral infection,A6004,0,Herpesviral vulvovaginitis
Viral infection,A6009,0,Herpesviral infection of other urogenital tract
Viral infection,A6009,0,Herpesviral infection of other urogenital tract
Viral infection,A601,0,Herpesviral infection of perianal skin and rectum
Viral infection,A601,0,Herpesviral infection of perianal skin and rectum
Viral infection,A601,0,Herpesviral infection of perianal skin and rectum
Viral infection,A609,0,"Anogenital herpesviral infection, unspecified"
Viral infection,A609,0,"Anogenital herpesviral infection, unspecified"
Viral infection,A609,0,"Anogenital herpesviral infection, unspecified"
Viral infection,A630,0,Anogenital (venereal) warts
Viral infection,A630,0,Anogenital (venereal) warts
Viral infection,A630,0,Anogenital (venereal) warts
Bacterial infection (other),A70,0,Chlamydia psittaci infections
Bacterial infection (other),A710,0,Initial stage of trachoma
Bacterial infection (other),A710,0,Initial stage of trachoma
Bacterial infection (other),A711,0,Active stage of trachoma
Bacterial infection (other),A711,0,Active stage of trachoma
Bacterial infection (other),A719,0,"Trachoma, unspecified"
Bacterial infection (other),A719,0,"Trachoma, unspecified"
Bacterial infection (other),A740,0,Chlamydial conjunctivitis
Bacterial infection (other),A740,0,Chlamydial conjunctivitis
Bacterial infection (other),A7481,0,Chlamydial peritonitis
Bacterial infection (other),A7481,0,Chlamydial peritonitis
Bacterial infection (other),A7489,0,Other chlamydial diseases
Bacterial infection (other),A749,0,"Chlamydial infection, unspecified"
Bacterial infection (other),A78,0,Q fever
Viral infection,A800,0,"Acute paralytic poliomyelitis, vaccine-associated"
Viral infection,A800,0,"Acute paralytic poliomyelitis, vaccine-associated"
Viral infection,A801,0,"Acute paralytic poliomyelitis, wild virus, imported"
Viral infection,A801,0,"Acute paralytic poliomyelitis, wild virus, imported"
Viral infection,A802,0,"Acute paralytic poliomyelitis, wild virus, indigenous"
Viral infection,A802,0,"Acute paralytic poliomyelitis, wild virus, indigenous"
Viral infection,A8030,0,"Acute paralytic poliomyelitis, unspecified"
Viral infection,A8030,0,"Acute paralytic poliomyelitis, unspecified"
Viral infection,A8039,0,Other acute paralytic poliomyelitis
Viral infection,A8039,0,Other acute paralytic poliomyelitis
Viral infection,A804,0,Acute nonparalytic poliomyelitis
Viral infection,A804,0,Acute nonparalytic poliomyelitis
Viral infection,A809,0,"Acute poliomyelitis, unspecified"
Viral infection,A809,0,"Acute poliomyelitis, unspecified"
Viral infection,A8100,0,"Creutzfeldt-Jakob disease, unspecified"
Viral infection,A8100,0,"Creutzfeldt-Jakob disease, unspecified"
Viral infection,A8101,0,Variant Creutzfeldt-Jakob disease
Viral infection,A8101,0,Variant Creutzfeldt-Jakob disease
Viral infection,A8109,0,Other Creutzfeldt-Jakob disease
Viral infection,A8109,0,Other Creutzfeldt-Jakob disease
Viral infection,A811,0,Subacute sclerosing panencephalitis
Viral infection,A811,0,Subacute sclerosing panencephalitis
Viral infection,A812,0,Progressive multifocal leukoencephalopathy
Viral infection,A812,0,Progressive multifocal leukoencephalopathy
Viral infection,A8181,0,Kuru
Viral infection,A8181,0,Kuru
Viral infection,A8182,0,Gerstmann-Straussler-Scheinker syndrome
Viral infection,A8182,0,Gerstmann-Straussler-Scheinker syndrome
Viral infection,A8183,0,Fatal familial insomnia
Viral infection,A8183,0,Fatal familial insomnia
Viral infection,A8189,0,Other atypical virus infections of central nervous system
Viral infection,A8189,0,Other atypical virus infections of central nervous system
Viral infection,A819,0,"Atypical virus infection of central nervous system, unspecified"
Viral infection,A819,0,"Atypical virus infection of central nervous system, unspecified"
Viral infection,A820,0,Sylvatic rabies
Viral infection,A820,0,Sylvatic rabies
Viral infection,A821,0,Urban rabies
Viral infection,A821,0,Urban rabies
Viral infection,A829,0,"Rabies, unspecified"
Viral infection,A829,0,"Rabies, unspecified"
Viral infection,A830,0,Japanese encephalitis
Viral infection,A830,0,Japanese encephalitis
Viral infection,A831,0,Western equine encephalitis
Viral infection,A831,0,Western equine encephalitis
Viral infection,A832,0,Eastern equine encephalitis
Viral infection,A832,0,Eastern equine encephalitis
Viral infection,A833,0,St Louis encephalitis
Viral infection,A833,0,St Louis encephalitis
Viral infection,A834,0,Australian encephalitis
Viral infection,A834,0,Australian encephalitis
Viral infection,A835,0,California encephalitis
Viral infection,A835,0,California encephalitis
Viral infection,A836,0,Rocio virus disease
Viral infection,A836,0,Rocio virus disease
Viral infection,A838,0,Other mosquito-borne viral encephalitis
Viral infection,A838,0,Other mosquito-borne viral encephalitis
Viral infection,A839,0,"Mosquito-borne viral encephalitis, unspecified"
Viral infection,A839,0,"Mosquito-borne viral encephalitis, unspecified"
Viral infection,A840,0,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
Viral infection,A840,0,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
Viral infection,A841,0,Central European tick-borne encephalitis
Viral infection,A841,0,Central European tick-borne encephalitis
Viral infection,A848,0,Other tick-borne viral encephalitis
Viral infection,A848,0,Other tick-borne viral encephalitis
Viral infection,A8481,0,Powassan virus disease
Viral infection,A8481,0,Powassan virus disease
Viral infection,A8489,0,Other tick-borne viral encephalitis
Viral infection,A8489,0,Other tick-borne viral encephalitis
Viral infection,A849,0,"Tick-borne viral encephalitis, unspecified"
Viral infection,A849,0,"Tick-borne viral encephalitis, unspecified"
Viral infection,A850,0,Enteroviral encephalitis
Viral infection,A850,0,Enteroviral encephalitis
Viral infection,A851,0,Adenoviral encephalitis
Viral infection,A851,0,Adenoviral encephalitis
Viral infection,A852,0,"Arthropod-borne viral encephalitis, unspecified"
Viral infection,A852,0,"Arthropod-borne viral encephalitis, unspecified"
Viral infection,A858,0,Other specified viral encephalitis
Viral infection,A858,0,Other specified viral encephalitis
Viral infection,A86,0,Unspecified viral encephalitis
Viral infection,A86,0,Unspecified viral encephalitis
Viral infection,A870,0,Enteroviral meningitis
Viral infection,A870,0,Enteroviral meningitis
Viral infection,A871,0,Adenoviral meningitis
Viral infection,A871,0,Adenoviral meningitis
Viral infection,A872,0,Lymphocytic choriomeningitis
Viral infection,A872,0,Lymphocytic choriomeningitis
Viral infection,A878,0,Other viral meningitis
Viral infection,A878,0,Other viral meningitis
Viral infection,A879,0,"Viral meningitis, unspecified"
Viral infection,A879,0,"Viral meningitis, unspecified"
Viral infection,A880,0,Enteroviral exanthematous fever [Boston exanthem]
Viral infection,A880,0,Enteroviral exanthematous fever [Boston exanthem]
Viral infection,A881,0,Epidemic vertigo
Viral infection,A881,0,Epidemic vertigo
Viral infection,A888,0,Other specified viral infections of central nervous system
Viral infection,A888,0,Other specified viral infections of central nervous system
Viral infection,A89,0,Unspecified viral infection of central nervous system
Viral infection,A89,0,Unspecified viral infection of central nervous system
Viral infection,A90,0,Dengue fever [classical dengue]
Viral infection,A91,0,Dengue hemorrhagic fever
Viral infection,A920,0,Chikungunya virus disease
Viral infection,A921,0,Onyong-nyong fever
Viral infection,A922,0,Venezuelan equine fever
Viral infection,A922,0,Venezuelan equine fever
Viral infection,A9230,0,"West Nile virus infection, unspecified"
Viral infection,A9231,0,West Nile virus infection with encephalitis
Viral infection,A9231,0,West Nile virus infection with encephalitis
Viral infection,A9232,0,West Nile virus infection with other neurologic manifestation
Viral infection,A9239,0,West Nile virus infection with other complications
Viral infection,A924,0,Rift Valley fever
Viral infection,A925,0,Zika virus disease
Viral infection,A928,0,Other specified mosquito-borne viral fevers
Viral infection,A929,0,"Mosquito-borne viral fever, unspecified"
Viral infection,A930,0,Oropouche virus disease
Viral infection,A931,0,Sandfly fever
Viral infection,A932,0,Colorado tick fever
Viral infection,A938,0,Other specified arthropod-borne viral fevers
Viral infection,A94,0,Unspecified arthropod-borne viral fever
Viral infection,A950,0,Sylvatic yellow fever
Viral infection,A951,0,Urban yellow fever
Viral infection,A959,0,"Yellow fever, unspecified"
Viral infection,A960,0,Junin hemorrhagic fever
Viral infection,A961,0,Machupo hemorrhagic fever
Viral infection,A962,0,Lassa fever
Viral infection,A968,0,Other arenaviral hemorrhagic fevers
Viral infection,A969,0,"Arenaviral hemorrhagic fever, unspecified"
Viral infection,A980,0,Crimean-Congo hemorrhagic fever
Viral infection,A981,0,Omsk hemorrhagic fever
Viral infection,A982,0,Kyasanur Forest disease
Viral infection,A983,0,Marburg virus disease
Viral infection,A984,0,Ebola virus disease
Viral infection,A985,0,Hemorrhagic fever with renal syndrome
Viral infection,A988,0,Other specified viral hemorrhagic fevers
Viral infection,A99,0,Unspecified viral hemorrhagic fever
Viral infection,B000,0,Eczema herpeticum
Viral infection,B000,0,Eczema herpeticum
Viral infection,B001,0,Herpesviral vesicular dermatitis
Viral infection,B001,0,Herpesviral vesicular dermatitis
URI (other),B002,0,Herpesviral gingivostomatitis and pharyngotonsillitis
URI (other),B002,0,Herpesviral gingivostomatitis and pharyngotonsillitis
URI (other),B002,0,Herpesviral gingivostomatitis and pharyngotonsillitis
Viral infection,B003,0,Herpesviral meningitis
Viral infection,B003,0,Herpesviral meningitis
Viral infection,B004,0,Herpesviral encephalitis
Viral infection,B004,0,Herpesviral encephalitis
Viral infection,B0050,0,"Herpesviral ocular disease, unspecified"
Viral infection,B0050,0,"Herpesviral ocular disease, unspecified"
Viral infection,B0051,0,Herpesviral iridocyclitis
Viral infection,B0051,0,Herpesviral iridocyclitis
Viral infection,B0052,0,Herpesviral keratitis
Viral infection,B0052,0,Herpesviral keratitis
Viral infection,B0053,0,Herpesviral conjunctivitis
Viral infection,B0053,0,Herpesviral conjunctivitis
Viral infection,B0059,0,Other herpesviral disease of eye
Viral infection,B0059,0,Other herpesviral disease of eye
Viral infection,B007,0,Disseminated herpesviral disease
Viral infection,B007,0,Disseminated herpesviral disease
Viral infection,B0081,0,Herpesviral hepatitis
Viral infection,B0081,0,Herpesviral hepatitis
Viral infection,B0082,0,Herpes simplex myelitis
Viral infection,B0089,0,Other herpesviral infection
Viral infection,B009,0,"Herpesviral infection, unspecified"
Viral infection,B010,0,Varicella meningitis
Viral infection,B010,0,Varicella meningitis
Viral infection,B0111,0,Varicella encephalitis and encephalomyelitis
Viral infection,B0111,0,Varicella encephalitis and encephalomyelitis
Viral infection,B0112,0,Varicella myelitis
Pneumonia,B012,0,Varicella pneumonia
Pneumonia,B012,0,Varicella pneumonia
Viral infection,B0181,0,Varicella keratitis
Viral infection,B0181,0,Varicella keratitis
Viral infection,B0189,0,Other varicella complications
Viral infection,B019,0,Varicella without complication
Viral infection,B020,0,Zoster encephalitis
Viral infection,B020,0,Zoster encephalitis
Viral infection,B021,0,Zoster meningitis
Viral infection,B021,0,Zoster meningitis
Viral infection,B0221,0,Postherpetic geniculate ganglionitis
Viral infection,B0221,0,Postherpetic geniculate ganglionitis
Viral infection,B0222,0,Postherpetic trigeminal neuralgia
Viral infection,B0222,0,Postherpetic trigeminal neuralgia
Viral infection,B0223,0,Postherpetic polyneuropathy
Viral infection,B0223,0,Postherpetic polyneuropathy
Viral infection,B0224,0,Postherpetic myelitis
Viral infection,B0229,0,Other postherpetic nervous system involvement
Viral infection,B0230,0,"Zoster ocular disease, unspecified"
Viral infection,B0230,0,"Zoster ocular disease, unspecified"
Viral infection,B0231,0,Zoster conjunctivitis
Viral infection,B0231,0,Zoster conjunctivitis
Viral infection,B0232,0,Zoster iridocyclitis
Viral infection,B0232,0,Zoster iridocyclitis
Viral infection,B0233,0,Zoster keratitis
Viral infection,B0233,0,Zoster keratitis
Viral infection,B0234,0,Zoster scleritis
Viral infection,B0234,0,Zoster scleritis
Viral infection,B0239,0,Other herpes zoster eye disease
Viral infection,B0239,0,Other herpes zoster eye disease
Viral infection,B027,0,Disseminated zoster
Viral infection,B028,0,Zoster with other complications
Viral infection,B029,0,Zoster without complications
Viral infection,B03,0,Smallpox
Viral infection,B04,0,Monkeypox
Viral infection,B050,0,Measles complicated by encephalitis
Viral infection,B050,0,Measles complicated by encephalitis
Viral infection,B051,0,Measles complicated by meningitis
Viral infection,B051,0,Measles complicated by meningitis
Pneumonia,B052,0,Measles complicated by pneumonia
Pneumonia,B052,0,Measles complicated by pneumonia
Otitis media,B053,0,Measles complicated by otitis media
Otitis media,B053,0,Measles complicated by otitis media
Viral infection,B054,0,Measles with intestinal complications
Viral infection,B0581,0,Measles keratitis and keratoconjunctivitis
Viral infection,B0581,0,Measles keratitis and keratoconjunctivitis
Viral infection,B0589,0,Other measles complications
Viral infection,B059,0,Measles without complication
Viral infection,B0600,0,"Rubella with neurological complication, unspecified"
Viral infection,B0601,0,Rubella encephalitis
Viral infection,B0601,0,Rubella encephalitis
Viral infection,B0602,0,Rubella meningitis
Viral infection,B0602,0,Rubella meningitis
Viral infection,B0609,0,Other neurological complications of rubella
Pneumonia,B0681,0,Rubella pneumonia
Pneumonia,B0681,0,Rubella pneumonia
Viral infection,B0682,0,Rubella arthritis
Viral infection,B0682,0,Rubella arthritis
Viral infection,B0689,0,Other rubella complications
Viral infection,B069,0,Rubella without complication
Viral infection,B070,0,Plantar wart
Viral infection,B078,0,Other viral warts
Viral infection,B079,0,"Viral wart, unspecified"
Viral infection,B08010,0,Cowpox
Viral infection,B08011,0,Vaccinia not from vaccine
Viral infection,B0802,0,Orf virus disease
Viral infection,B0803,0,Pseudocowpox [milkers node]
Viral infection,B0804,0,"Paravaccinia, unspecified"
Viral infection,B0809,0,Other orthopoxvirus infections
Viral infection,B081,0,Molluscum contagiosum
Viral infection,B0820,0,"Exanthema subitum [sixth disease], unspecified"
Viral infection,B0821,0,Exanthema subitum [sixth disease] due to human herpesvirus 6
Viral infection,B0822,0,Exanthema subitum [sixth disease] due to human herpesvirus 7
Viral infection,B083,0,Erythema infectiosum [fifth disease]
Viral infection,B084,0,Enteroviral vesicular stomatitis with exanthem
Viral infection,B084,0,Enteroviral vesicular stomatitis with exanthem
URI (other),B085,0,Enteroviral vesicular pharyngitis
URI (other),B085,0,Enteroviral vesicular pharyngitis
Viral infection,B0860,0,"Parapoxvirus infection, unspecified"
Viral infection,B0861,0,Bovine stomatitis
Viral infection,B0861,0,Bovine stomatitis
Viral infection,B0862,0,Sealpox
Viral infection,B0869,0,Other parapoxvirus infections
Viral infection,B0870,0,"Yatapoxvirus infection, unspecified"
Viral infection,B0871,0,Tanapox virus disease
Viral infection,B0872,0,Yaba pox virus disease
Viral infection,B0879,0,Other yatapoxvirus infections
Viral infection,B088,0,Other specified viral infections characterized by skin and mucous membrane lesions
Viral infection,B09,0,Unspecified viral infection characterized by skin and mucous membrane lesions
Viral infection,B1001,0,Human herpesvirus 6 encephalitis
Viral infection,B1001,0,Human herpesvirus 6 encephalitis
Viral infection,B1009,0,Other human herpesvirus encephalitis
Viral infection,B1009,0,Other human herpesvirus encephalitis
Viral infection,B1081,0,Human herpesvirus 6 infection
Viral infection,B1082,0,Human herpesvirus 7 infection
Viral infection,B1089,0,Other human herpesvirus infection
Viral infection,B150,0,Hepatitis A with hepatic coma
Viral infection,B150,0,Hepatitis A with hepatic coma
Viral infection,B150,0,Hepatitis A with hepatic coma
Viral infection,B159,0,Hepatitis A without hepatic coma
Viral infection,B159,0,Hepatitis A without hepatic coma
Viral infection,B160,0,Acute hepatitis B with delta-agent with hepatic coma
Viral infection,B160,0,Acute hepatitis B with delta-agent with hepatic coma
Viral infection,B160,0,Acute hepatitis B with delta-agent with hepatic coma
Viral infection,B161,0,Acute hepatitis B with delta-agent without hepatic coma
Viral infection,B161,0,Acute hepatitis B with delta-agent without hepatic coma
Viral infection,B162,0,Acute hepatitis B without delta-agent with hepatic coma
Viral infection,B162,0,Acute hepatitis B without delta-agent with hepatic coma
Viral infection,B162,0,Acute hepatitis B without delta-agent with hepatic coma
Viral infection,B169,0,Acute hepatitis B without delta-agent and without hepatic coma
Viral infection,B169,0,Acute hepatitis B without delta-agent and without hepatic coma
Viral infection,B170,0,Acute delta-(super) infection of hepatitis B carrier
Viral infection,B170,0,Acute delta-(super) infection of hepatitis B carrier
Viral infection,B1710,0,Acute hepatitis C without hepatic coma
Viral infection,B1710,0,Acute hepatitis C without hepatic coma
Viral infection,B1711,0,Acute hepatitis C with hepatic coma
Viral infection,B1711,0,Acute hepatitis C with hepatic coma
Viral infection,B1711,0,Acute hepatitis C with hepatic coma
Viral infection,B172,0,Acute hepatitis E
Viral infection,B172,0,Acute hepatitis E
Viral infection,B178,0,Other specified acute viral hepatitis
Viral infection,B178,0,Other specified acute viral hepatitis
Viral infection,B179,0,"Acute viral hepatitis, unspecified"
Viral infection,B179,0,"Acute viral hepatitis, unspecified"
Viral infection,B180,0,Chronic viral hepatitis B with delta-agent
Viral infection,B180,0,Chronic viral hepatitis B with delta-agent
Viral infection,B181,0,Chronic viral hepatitis B without delta-agent
Viral infection,B181,0,Chronic viral hepatitis B without delta-agent
Viral infection,B182,0,Chronic viral hepatitis C
Viral infection,B182,0,Chronic viral hepatitis C
Viral infection,B188,0,Other chronic viral hepatitis
Viral infection,B188,0,Other chronic viral hepatitis
Viral infection,B189,0,"Chronic viral hepatitis, unspecified"
Viral infection,B189,0,"Chronic viral hepatitis, unspecified"
Viral infection,B190,0,Unspecified viral hepatitis with hepatic coma
Viral infection,B190,0,Unspecified viral hepatitis with hepatic coma
Viral infection,B190,0,Unspecified viral hepatitis with hepatic coma
Viral infection,B1910,0,Unspecified viral hepatitis B without hepatic coma
Viral infection,B1910,0,Unspecified viral hepatitis B without hepatic coma
Viral infection,B1911,0,Unspecified viral hepatitis B with hepatic coma
Viral infection,B1911,0,Unspecified viral hepatitis B with hepatic coma
Viral infection,B1911,0,Unspecified viral hepatitis B with hepatic coma
Viral infection,B1920,0,Unspecified viral hepatitis C without hepatic coma
Viral infection,B1920,0,Unspecified viral hepatitis C without hepatic coma
Viral infection,B1921,0,Unspecified viral hepatitis C with hepatic coma
Viral infection,B1921,0,Unspecified viral hepatitis C with hepatic coma
Viral infection,B1921,0,Unspecified viral hepatitis C with hepatic coma
Viral infection,B199,0,Unspecified viral hepatitis without hepatic coma
Viral infection,B199,0,Unspecified viral hepatitis without hepatic coma
Pneumonia,B250,0,Cytomegaloviral pneumonitis
Pneumonia,B250,0,Cytomegaloviral pneumonitis
Viral infection,B251,0,Cytomegaloviral hepatitis
Viral infection,B251,0,Cytomegaloviral hepatitis
Viral infection,B252,0,Cytomegaloviral pancreatitis
Viral infection,B252,0,Cytomegaloviral pancreatitis
Viral infection,B258,0,Other cytomegaloviral diseases
Viral infection,B259,0,"Cytomegaloviral disease, unspecified"
Viral infection,B260,0,Mumps orchitis
Viral infection,B260,0,Mumps orchitis
Viral infection,B261,0,Mumps meningitis
Viral infection,B261,0,Mumps meningitis
Viral infection,B262,0,Mumps encephalitis
Viral infection,B262,0,Mumps encephalitis
Viral infection,B263,0,Mumps pancreatitis
Viral infection,B263,0,Mumps pancreatitis
Viral infection,B2681,0,Mumps hepatitis
Viral infection,B2681,0,Mumps hepatitis
Viral infection,B2682,0,Mumps myocarditis
Viral infection,B2682,0,Mumps myocarditis
Viral infection,B2683,0,Mumps nephritis
Viral infection,B2683,0,Mumps nephritis
Viral infection,B2684,0,Mumps polyneuropathy
Viral infection,B2684,0,Mumps polyneuropathy
Viral infection,B2685,0,Mumps arthritis
Viral infection,B2685,0,Mumps arthritis
Viral infection,B2689,0,Other mumps complications
Viral infection,B269,0,Mumps without complication
Viral infection,B2700,0,Gammaherpesviral mononucleosis without complication
Viral infection,B2701,0,Gammaherpesviral mononucleosis with polyneuropathy
Viral infection,B2701,0,Gammaherpesviral mononucleosis with polyneuropathy
Viral infection,B2701,0,Gammaherpesviral mononucleosis with polyneuropathy
Viral infection,B2702,0,Gammaherpesviral mononucleosis with meningitis
Viral infection,B2702,0,Gammaherpesviral mononucleosis with meningitis
Viral infection,B2709,0,Gammaherpesviral mononucleosis with other complications
Viral infection,B2710,0,Cytomegaloviral mononucleosis without complications
Viral infection,B2711,0,Cytomegaloviral mononucleosis with polyneuropathy
Viral infection,B2711,0,Cytomegaloviral mononucleosis with polyneuropathy
Viral infection,B2711,0,Cytomegaloviral mononucleosis with polyneuropathy
Viral infection,B2712,0,Cytomegaloviral mononucleosis with meningitis
Viral infection,B2712,0,Cytomegaloviral mononucleosis with meningitis
Viral infection,B2719,0,Cytomegaloviral mononucleosis with other complication
Viral infection,B2780,0,Other infectious mononucleosis without complication
Viral infection,B2781,0,Other infectious mononucleosis with polyneuropathy
Viral infection,B2781,0,Other infectious mononucleosis with polyneuropathy
Viral infection,B2781,0,Other infectious mononucleosis with polyneuropathy
Viral infection,B2782,0,Other infectious mononucleosis with meningitis
Viral infection,B2782,0,Other infectious mononucleosis with meningitis
Viral infection,B2789,0,Other infectious mononucleosis with other complication
Viral infection,B2790,0,"Infectious mononucleosis, unspecified without complication"
Viral infection,B2791,0,"Infectious mononucleosis, unspecified with polyneuropathy"
Viral infection,B2791,0,"Infectious mononucleosis, unspecified with polyneuropathy"
Viral infection,B2791,0,"Infectious mononucleosis, unspecified with polyneuropathy"
Viral infection,B2792,0,"Infectious mononucleosis, unspecified with meningitis"
Viral infection,B2792,0,"Infectious mononucleosis, unspecified with meningitis"
Viral infection,B2799,0,"Infectious mononucleosis, unspecified with other complication"
Viral infection,B300,0,Keratoconjunctivitis due to adenovirus
Viral infection,B300,0,Keratoconjunctivitis due to adenovirus
Viral infection,B301,0,Conjunctivitis due to adenovirus
Viral infection,B301,0,Conjunctivitis due to adenovirus
Viral infection,B302,0,Viral pharyngoconjunctivitis
Viral infection,B302,0,Viral pharyngoconjunctivitis
Viral infection,B303,0,Acute epidemic hemorrhagic conjunctivitis (enteroviral)
Viral infection,B303,0,Acute epidemic hemorrhagic conjunctivitis (enteroviral)
Viral infection,B308,0,Other viral conjunctivitis
Viral infection,B308,0,Other viral conjunctivitis
Viral infection,B309,0,"Viral conjunctivitis, unspecified"
Viral infection,B309,0,"Viral conjunctivitis, unspecified"
Viral infection,B330,0,Epidemic myalgia
Viral infection,B331,0,Ross River disease
Viral infection,B3320,0,"Viral carditis, unspecified"
Viral infection,B3320,0,"Viral carditis, unspecified"
Viral infection,B3321,0,Viral endocarditis
Viral infection,B3321,0,Viral endocarditis
Viral infection,B3322,0,Viral myocarditis
Viral infection,B3322,0,Viral myocarditis
Viral infection,B3323,0,Viral pericarditis
Viral infection,B3323,0,Viral pericarditis
Viral infection,B3324,0,Viral cardiomyopathy
Viral infection,B3324,0,Viral cardiomyopathy
Viral infection,B333,0,"Retrovirus infections, not elsewhere classified"
Viral infection,B334,0,Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS]
Viral infection,B338,0,Other specified viral diseases
Viral infection,B340,0,"Adenovirus infection, unspecified"
Viral infection,B341,0,"Enterovirus infection, unspecified"
Viral infection,B342,0,"Coronavirus infection, unspecified"
Viral infection,B343,0,"Parvovirus infection, unspecified"
Viral infection,B344,0,"Papovavirus infection, unspecified"
Viral infection,B348,0,Other viral infections of unspecified site
Viral infection,B349,0,"Viral infection, unspecified"
Pneumonia,B371,0,Pulmonary candidiasis
Pneumonia,B371,0,Pulmonary candidiasis
UTI,B3741,0,Candidal cystitis and urethritis
